Airport,longitude,latitude,Heading,Tilt,Range,population
Xian 西安,108.7533969,34.44719182,-3.667461291,3.68E-10,17274.43391,0
Qingzhu TW台湾,120.9349275,24.8203495,1.040522993,3.55E-10,11008.15303,0
Hualian TW台湾,121.5879235,24.02636838,1.31728553,4.79E-10,12958.91981,0
Xiamen 厦门,118.1557168,24.53630371,0.238115976,3.76E-10,10476.3023,0
Qingyang 青阳,118.5786395,24.7911726,0.415095459,3.72E-10,11764.81768,0
Hengyang 衡阳,112.6152119,26.91186505,-2.340182543,3.81E-10,12347.39721,0
Zhongzhen TW台湾,121.2548741,25.05477222,1.175097712,3.73E-10,26943.95066,0
Taoyuan TW台湾,121.2548741,25.05477222,1.175097712,3.73E-10,26943.95066,0
Putian 莆田,118.8108302,25.02743603,0.434454916,3.91E-10,5197.366741,0
Lianjiang 廉江,119.4708037,25.61000143,0.79618992,3.86E-10,23321.7645,0
Tianshui 天水,105.8606506,34.57679162,-5.303485943,3.82E-10,17345.76597,0
Liquan,108.2856924,34.27675619,-3.933107883,3.70E-10,19327.43753,0
Jiuquan rocket酒泉航天,99.80544029,40.39637937,-0.000989549,4.03E-10,21273.12754,0
Yining 伊宁,81.3320896,43.95915501,1.995185072,3.90E-10,10417.07494,0
Kuche,82.96969565,41.7257909,-11.31456185,3.97E-10,14154.97887,0
Akesu 阿克苏,80.29895529,41.26715932,-13.0751831,3.80E-10,13838.16019,0
Kashi 喀什,76.02577587,39.54207748,-0.946231349,3.74E-10,11981.01454,0
Hami2 哈密2,92.82461109,43.07936733,-4.660330668,3.93E-10,15705.45543,0
Jiuquan 酒泉,98.87163504,39.5690637,-0.601940225,3.97E-10,21273.12754,0
Hetian 河田,79.87362179,37.08313022,1.483377734,3.86E-10,26986.2835,0
Hami 哈密,93.64451268,42.84686063,-4.099007686,3.97E-10,18869.29481,0
Jiuquan launch 酒泉2,100.2806784,40.9677091,0.309626533,3.85E-10,8481.369398,0
Baihe 白鹤,107.1174984,22.12136257,3.252951776,3.98E-10,52562.5287,0
Liuzhou 柳州,109.412624,24.23706655,4.101161004,4.00E-10,25836.44725,0
Kunming 昆明,102.7209164,25.0206355,1.451332907,3.98E-10,19158.4736,0
mengzi 蒙自,103.3228829,23.40349279,1.646905378,4.00E-10,25258.01473,0
Luliang 陆良,103.6609344,24.97554118,1.785810139,4.01E-10,26349.35018,0
Guiyang 贵阳,106.8326606,26.5361238,3.170535279,4.05E-10,21402.55965,0
Deyang 德阳,104.3425667,30.95009319,2.344859923,5.91E-11,16890.17562,0
Hanzhong 汉中,107.1853769,33.15135782,3.852233035,5.67E-11,14083.19957,0
Mianyang 绵阳,104.7436588,31.42176697,2.553392158,6.93E-11,15662.05594,0
Ankang 安康,108.9380211,32.72187243,4.808004315,5.30E-11,28865.59859,0
Chongqing2重庆2,106.3504363,29.48228001,3.442010764,5.77E-11,28961.95187,0
Guangyuan广源,105.71196,32.39843916,3.0671586,6.02E-11,32708.72201,0
qionglai邛崃,103.4792115,30.49022566,2.066613351,5.20E-11,26510.4844,0
xinjian,103.8294169,30.38121647,2.243603743,4.14E-11,24702.62927,0
Chengdu3成都3,104.0436653,30.60332192,2.353793403,4.05E-11,31827.35471,0
Chengdu2成都2,103.9751407,30.70776726,2.3189094,4.20E-11,30121.40803,0
Yinchuan银川,106.0139771,38.49494212,-25.15053008,2.82E-11,19466.54378,0
Wenzhou温州,120.8330302,27.89968058,-7.486370984,4.34E-11,23278.4961,0
Xining西宁,101.8663789,36.57678724,-3.137019308,3.65E-11,14082.05985,0
Quzhou 衢州,118.8847846,28.96446163,-8.423084417,4.34E-11,23278.4961,0
Luqiao,121.4345055,28.58901188,-7.198456319,4.34E-11,23278.4961,0
Guangzhou 广州,113.2963603,23.38496741,-10.94700609,4.49E-11,9991.112579,0
Chengdu 成都,104.0169245,30.5889713,2.340195644,4.07E-11,30121.40803,0
Xining2 西宁2,102.049583,36.53773333,-3.027957902,2.88E-11,14080.45109,0
Hailar 海拉尔,119.7136889,49.18300919,-0.17709868,9.774657314,15454.65418,0
Dali 大理,100.3136526,25.65918181,-3.925538041,3.05E-11,19376.09569,0
Zhaotong,103.7521227,27.32968867,-2.461509579,3.79E-11,22477.56419,0
Shenzhen 深圳,113.8203999,22.63849605,-10.74141779,4.54E-11,18226.79274,0
Lasa 拉萨,90.92255885,29.29667388,-19.26636912,5.28E-11,18560.6566,0
Lijiang 漓江,100.2756166,26.67812123,0.6153025,4.21E-11,19489.93168,0
Fuzhou2 福州2,119.3377662,26.02389331,-33.79297477,4.67E-11,24574.54737,0
Zhongdian 中甸,99.71875738,27.81955319,0.36359673,4.35E-11,30256.87896,0
Fuzhou 福州,119.6709618,25.96028367,-33.64691903,5.05E-11,24574.54737,0
Beihai 北海,109.2886971,21.53868593,-12.42563406,4.73E-11,19320.23257,0
Suicheng 穗城,110.1936829,21.39573876,-12.09964426,4.33E-11,18343.47791,0
Foshan 佛山,113.0915024,23.10536172,-11.02869877,4.32E-11,16769.16439,0
Macao 澳门,113.5792539,22.17273187,-10.84025115,4.32E-11,16769.16439,0
Shantou 汕头,116.7331869,23.43190321,-9.607963791,4.43E-11,18226.79274,0
Zhuhai 珠海,113.3838607,22.02446318,-10.913858,4.80E-11,16769.16439,0
Chouzheng,120.0499125,29.31697067,-7.856421552,4.51E-11,23278.4961,0
baotou2 包头2,108.9927062,40.61473859,-23.18762514,3.94E-11,11299.5075,0
Ningbo2 宁波2,121.4884847,29.85065825,-7.140310789,4.40E-11,21030.25966,0
Ningbo1 宁波1,121.6047845,29.88551216,-7.082441316,4.48E-11,43585.98329,0
Chongqing 重庆,106.6511655,29.70888072,5.884532698,3.01E-11,15640.43573,0
JIngmen2 荆门2,111.8206401,30.79435844,8.51143217,3.63E-11,12664.60056,0
Luoyang 洛阳,112.3749723,34.74489,-3.458405866,0,9807.686266,0
Gangshui ,113.8094024,31.66199743,9.534234197,4.84E-11,20777.73611,0
Jingmen 荆门,112.3861958,31.10031263,8.802303235,4.58E-11,26606.85572,0
Luan 六安,116.2731105,31.64017361,10.83388206,5.08E-11,17808.12138,0
Zhengzhou 郑州,113.7984936,34.54694286,-2.696571311,5.58E-13,32950.18647,0
Minggang 明港,114.0585417,32.48243679,-2.550644255,0,32950.18647,0
Fuyang 阜阳,115.7395565,32.87614631,-1.659304912,0,34920.186,0
Bengbu,117.3302017,32.90377704,-0.767656877,0,34919.1041,0
Jiaozuo 焦作,112.6022129,35.11704806,-3.328636938,5.70E-13,21718.52033,0
Datong 大同,113.127178,39.73029248,8.898176695,9.92E-12,23248.322,0
Nanyang 南阳,112.5991757,32.96018776,-3.32788343,0,17458.00178,0
